service_name,escalation_policies,teams,integrations,last_incident_timestamp
3DS Fraud Service,3DS Fraud Service Policy,3DS Fraud Team,"[""Prometheus"", ""Amazon Cloudwatch""]",2019-10-27T16:56:16-07:00
3DS Fraud Service (Nonprod),3DS Fraud Service Policy,3DS Fraud Team,"[""Prometheus""]",2019-07-09T10:37:48-07:00
3DS RCO Fraud,3DS Client Fraud Policy,3DS Fraud Team,"[""Prometheus"", ""Email""]",2019-09-29T21:12:22-07:00
3rd Line - Ticketmaster Responsive,3rd Line - Ticketmaster Responsive (Policy),3rd Line - Ticketmaster Responsive,"[""Email"", ""Prometheus-Dev""]",2019-08-18T07:09:15-07:00
3rd Line - Ticketmaster Responsive (Service),3rd Line - Ticketmaster Responsive (Policy),3rd Line - Ticketmaster Responsive,"[""Email""]",2019-08-20T02:37:29-07:00
Abuse Monitoring Nagios,Abuse Prevention,Abuse Prevention,"[""Nagios""]",2019-10-30T01:41:14-07:00
Abuse Ops,Abuse Ops,Abuse Prevention,"[""Email"", ""Abuse Ops SNS""]",2019-10-08T15:46:43-07:00
Abuse Prevention API v2,Abuse Prevention,Abuse Prevention,"[""API""]",2018-10-16T16:03:58-07:00
Abuse Prevention General,Abuse Systems Monitoring,Abuse Prevention,"[""Email""]",2019-10-23T13:48:27-07:00
Abuse Systems Automated,Abuse Prevention Automated,Abuse Prevention,"[""Email"", ""Events API v2""]",2019-10-16T13:30:17-07:00
Access Control Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",2019-10-12T07:22:05-07:00
Access Splunk Alerts,IAC escalation,IAC,"[""Email""]",2019-10-26T17:15:43-07:00
Access Ticketmaster,Ticketmaster ONE - Escalation Policy,Ticketmaster ONE,"[""Email""]",2017-10-03T16:26:13-07:00
Accessible Seating Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",
AccountManager API Blockers,AccountManager Escalation Policy,Account Manager,"[""Email""]",2017-05-06T23:46:59-07:00
AccountManager API Monitoring,AccountManager Escalation Policy,Account Manager,"[""Email""]",2017-06-15T07:22:41-07:00
AccountManager AWS Cloudwatch (PREPROD EAST),AccountManager Escalation Policy,Account Manager,"[""Amazon Cloudwatch""]",2019-10-30T14:03:21-07:00
AccountManager AWS Cloudwatch (PREPROD WEST),AccountManager Escalation Policy,Account Manager,"[""Amazon Cloudwatch""]",2019-09-08T17:31:46-07:00
AccountManager AWS Cloudwatch (PROD EAST),AccountManager Escalation Policy,Account Manager,"[""Amazon Cloudwatch""]",2019-10-30T09:11:17-07:00
AccountManager AWS Cloudwatch (PROD WEST),AccountManager Escalation Policy,Account Manager,"[""Amazon Cloudwatch""]",2019-10-24T09:19:36-07:00
AccountManager AWS Cloudwatch Sandbox,AccountManager Sandbox,Account Manager,"[""Amazon CloudWatch""]",2018-11-15T08:21:44-08:00
AccountManager AWS SNS Sandbox,AccountManager Sandbox,Account Manager,"[""Email""]",
AccountManager Internal,AccountManager Internal,Account Manager,"[""Email""]",2019-09-29T10:03:18-07:00
AccountManager Notify,AccountManager Escalation Policy,Account Manager,"[""Email""]",2019-08-06T17:27:34-07:00
AccountManager Preprod Synthetic Monitoring,AccountManager Escalation Policy,Account Manager,"[""Email"", ""AccountManager Preprod""]",2019-06-08T15:27:37-07:00
AccountManager Prometheus,AccountManager Escalation Policy,Account Manager,"[""Prometheus""]",2018-01-10T13:33:33-08:00
AccountManager Prometheus Sandbox,AccountManager Sandbox,Account Manager,"[""Prometheus""]",2018-01-10T13:09:16-08:00
AccountManager Rigor (integration),AccountManager Escalation Policy,Account Manager,"[""Rigor""]",2019-10-14T11:45:52-07:00
AccountManager Rigor alerts,AccountManager Escalation Policy,Account Manager,"[""Email""]",2016-12-05T12:13:52-08:00
AccountManager Support,AccountManager Support,Account Manager,"[""Email""]",2019-01-01T15:17:56-08:00
AccountManager Synthetic Monitoring,AccountManager Escalation Policy,Account Manager,"[""Email""]",2019-01-30T05:50:46-08:00
AccountManager Urgent,AccountManager Escalation Policy,Account Manager,"[""Email""]",2019-10-03T15:45:21-07:00
AccountManager Zabbix High,AccountManager Escalation Policy,Account Manager,"[""Email""]",2017-08-01T12:26:19-07:00
Accounts API Oncall,Accounts API Escalation Policy,Accounts API,"[""Email"", ""API"", ""accounts-api-cloudwatch-alerts""]",2019-10-29T10:51:12-07:00
Accounts API Rigor Non-Prod,Accounts API Escalation Policy,Accounts API,"[""Email""]",2017-05-15T16:36:13-07:00
Accounts API Rigor Prod,Accounts API Escalation Policy,Accounts API,"[""Email""]",2019-09-03T10:46:31-07:00
Adaxes (AWS) PCI PROD,ISD Monitoring,INTL Service Delivery,"[""Amazon Cloudwatch""]",2018-11-21T07:22:20-08:00
AE On-Call Svc,AE On-Call Escalation,Archtics Engineering,"[""Email"", ""Live Call Routing"", ""Archtics_Alert"", ""Jira - ARCHINC""]",2019-10-30T15:06:08-07:00
aeo hotline api,aeo hotline escalation,Archtics Engineering,"[""API""]",2018-03-31T12:41:53-07:00
AEO to DEV,AEO to Dev Escalation,Archtics Engineering,[],2019-09-19T16:09:39-07:00
AEO-HOTLINE,AE On-Call Escalation,Archtics Engineering,"[""API"", ""aeo_incidents""]",2019-06-08T15:09:23-07:00
AIS Pagerduty API,Archtics Integration Escalation,Archtics Integration,"[""API""]",2019-05-08T11:56:33-07:00
AKM - PROD EAST (CloudWatch),AccountManager Escalation Policy,Account Manager,"[""Amazon CloudWatch""]",2019-10-04T20:10:17-07:00
AKM - PROD EAST (Prometheus),AccountManager Escalation Policy,Account Manager,"[""Prometheus""]",2019-03-15T06:43:40-07:00
AKM - PROD WEST (CloudWatch),AccountManager Escalation Policy,Account Manager,"[""Amazon CloudWatch""]",2019-05-19T03:07:22-07:00
AKM - PROD WEST (Prometheus),AccountManager Escalation Policy,Account Manager,"[""Prometheus""]",2019-03-15T06:44:12-07:00
AKM - STG EAST (CloudWatch),AccountManager Escalation Policy,Account Manager,"[""Amazon CloudWatch""]",2019-10-04T20:16:56-07:00
AKM - STG EAST (Prometheus),AccountManager Escalation Policy,Account Manager,"[""Prometheus""]",2019-03-15T06:39:58-07:00
AKM - STG WEST (CloudWatch),AccountManager Escalation Policy,Account Manager,"[""Amazon CloudWatch""]",
AKM - STG WEST (Prometheus),AccountManager Escalation Policy,Account Manager,"[""Prometheus""]",2019-03-15T06:37:57-07:00
Alert from etk-MemUsage,TS Product Support escalations,TS Product Support,"[""LowMemoryEmail""]",2017-11-07T14:37:33-08:00
Amazon Cloudwatch,HPP Escalation,HPP,"[""Amazon Cloudwatch""]",2019-03-25T17:15:08-07:00
AMS DCOPS P1,AMS DCOPS Escalation policy,AMS DCOps Team,"[""Email""]",2019-01-29T09:41:25-08:00
analytics data devops,TM1_REPORTS_DATA_ONCALL,,"[""Email"", ""analytics data devops""]",2019-10-02T11:29:49-07:00
Analytics Notification,Analytics TOC Escalation Policy,Analytics,"[""Email""]",2019-09-15T09:06:02-07:00
Analytics Prometheus Alert Service,Analytics TOC Escalation Policy,Analytics,"[""TM1-Reports-Prometheus""]",2019-10-24T15:42:58-07:00
Analytics Rigor Notification,Analytics TOC Escalation Policy,Analytics,"[""Rigor""]",2019-10-24T10:52:23-07:00
Analytics TOC Escalation Service,Analytics TOC Escalation Policy,Analytics,"[""Email""]",2019-10-02T08:26:43-07:00
apitimspero,Page-timspero,,"[""Generic API"", ""Email""]",2017-03-20T12:42:16-07:00
APP_CCHECKOUT_V0,SDMA-ESCALATION-POLICY,SalesDeckMobile,"[""Email"", ""AWS Checkout pager duty alert""]",2018-09-03T11:20:06-07:00
APP_COFFERING_V0,SDMA-ESCALATION-POLICY,SalesDeckMobile,"[""Email""]",2018-11-12T09:30:07-08:00
APP_CSHOPPING_V0,SDMA-ESCALATION-POLICY,SalesDeckMobile,"[""Email""]",2018-11-14T15:05:06-08:00
APP_REFUND_V0,SDMA-ESCALATION-POLICY,SalesDeckMobile,"[""Email""]",
Archtics AWS Cloudwatch (PREPROD EAST),archtics-aws-notification,Archtics Engineering,"[""Amazon Cloudwatch""]",
Archtics AWS Cloudwatch (PREPROD WEST),archtics-aws-notification,Archtics Engineering,"[""Amazon Cloudwatch""]",
Archtics AWS Cloudwatch (PROD EAST),archtics-aws-notification,Archtics Engineering,"[""Amazon Cloudwatch""]",2019-08-29T16:00:50-07:00
Archtics AWS Cloudwatch (PROD WEST),archtics-aws-notification,Archtics Engineering,"[""Amazon Cloudwatch""]",
Archtics BreakGlass Alert,Archtics Integration Escalation,Archtics Integration,"[""Email""]",
Archtics Dev On-Call API,AE On-Call Escalation,Archtics Engineering,"[""Generic API""]",2018-11-01T15:00:16-07:00
Archtics Dev On-Call Support,Archtics Dev Support Escalation,Archtics Engineering,"[""Email""]",2019-08-20T05:15:08-07:00
Archtics Integration Svc,Archtics Integration Escalation,Archtics Integration,"[""Email""]",2019-10-19T16:55:50-07:00
Archtics Managers,Alert Archtics Managers,Archtics Engineering,"[""Generic API""]",2016-12-13T07:25:31-08:00
archtics-aws-prod,aws-gateway-escalation,Archtics Engineering,"[""archtics-aws-prod"", ""aws-prometheus""]",
archtics-aws-test,archtics-aws-notification,Archtics Engineering,"[""aws-gateway-api"", ""aws-prometheus"", ""Cloudwatch""]",2019-10-30T15:07:24-07:00
archtics-test,Page-timspero,,"[""API""]",2019-03-21T04:20:57-07:00
ArchticsAlertsV2,Page-timspero,,"[""API""]",2017-03-30T14:51:11-07:00
ArchticsIntergrationAPI,Archtics Integration Escalation,Archtics Integration,"[""Generic API""]",2018-09-09T08:21:16-07:00
ArchticsTriggerAPI_SA,AE On-Call Escalation,Archtics Engineering,"[""Generic API""]",2018-12-12T03:35:04-08:00
ArchticTriggerAPI,AE On-Call Escalation,Archtics Engineering,"[""Generic API""]",2019-03-21T04:18:29-07:00
Authoring Message Bus TOC Escalation,CCS Team Escalation Policy,CCS Team,"[""Email"", ""USP""]",2019-09-21T15:28:38-07:00
Authoring services,TM1 Events,TM1 Events - EventBase - authoring,"[""Email""]",2019-06-03T18:52:09-07:00
Autoupdater Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",
availability-stream,edp2-backend,edp2-backend,"[""Prometheus""]",2019-10-29T11:48:20-07:00
AVD Service,CCS Team Escalation Policy,CCS Team,"[""Email"", ""USP""]",2019-10-22T12:15:27-07:00
AVD TOC Escalation,CCS Team Escalation Policy,CCS Team,"[""Email""]",2018-12-06T07:41:32-08:00
AVI SSL Conversion,GNS AVI SSL,,"[""Email""]",
AWS cloudwatch PROD,ISMDS Escalation Policy,ISMDS,"[""Amazon Cloudwatch""]",2019-05-09T14:51:10-07:00
AWS-Cloudwatch,MAPS ESCALATION POLICY 1,MAPS,"[""Maps Cloudwatch ""]",2019-10-30T08:03:29-07:00
B2C Accounts developers,B2C Accounts developers,B2C Accounts developers,"[""Prometheus"", ""AWS Cloudwatch""]",2019-05-21T04:03:57-07:00
B2C_CCS,CCS Team Escalation Policy,CCS Team,"[""Email""]",2019-10-03T06:40:48-07:00
Bastion,CORETIX Escalation Policy,CORETIX,"[""Platform Automation Email""]",
BEAST,TM Post-Purchase Escalation Policy,TM Post-Purchase,"[""Email""]",2018-10-23T18:18:26-07:00
